Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Should triple-negative breast cancer (TNBC) subtype affect local-regional therapy decision making?","/pubmed/24857120","Moran MS.","Am Soc Clin Oncol Educ Book. 2014:e32-6. doi: 10.14694/EdBook_AM.2014.34.e32. Review.","Am Soc Clin Oncol Educ Book.  2014","PubMed","citation","PMID:24857120","pubmed","24857120","create date:2014/05/27 | first author:Moran MS",
"Breast cancer: TNBC: can we treat the untargetable?","/pubmed/24840078","Hutchinson L.","Nat Rev Clin Oncol. 2014 Jul;11(7):379. doi: 10.1038/nrclinonc.2014.88. Epub 2014 May 20. No abstract available. ","Nat Rev Clin Oncol.  2014","PubMed","citation","PMID:24840078","pubmed","24840078","create date:2014/05/21 | first author:Hutchinson L",
"A randomized controlled phase II trial of a novel composition of paclitaxel embedded into neutral and cationic lipids targeting tumor endothelial cells in advanced triple-negative breast cancer (TNBC).","/pubmed/24667715","Awada A, Bondarenko IN, Bonneterre J, Nowara E, Ferrero JM, Bakshi AV, Wilke C, Piccart M; CT4002 study group..","Ann Oncol. 2014 Apr;25(4):824-31. doi: 10.1093/annonc/mdu025.","Ann Oncol.  2014","PubMed","citation","PMID:24667715","pubmed","24667715","create date:2014/03/29 | first author:Awada A",
"TNBC vs. Non-TNBC: A Five-Year Retrospective Review of Differences in Mean Age, Family History, Smoking History and Stage at Diagnosis at an Inner City University Program.","/pubmed/29147364","Tariq K, Rana F.","World J Oncol. 2013 Dec;4(6):241-247. doi: 10.4021/wjon738w. Epub 2014 Jan 16.","World J Oncol.  2013","PubMed","citation","PMID:29147364 | PMCID:PMC5649849","pubmed","29147364","create date:2013/12/01 | first author:Tariq K",
"Prognostic value of survivin and EGFR protein expression in triple-negative breast cancer (TNBC) patients.","/pubmed/24233638","Zhang M, Zhang X, Zhao S, Wang Y, Di W, Zhao G, Yang M, Zhang Q.","Target Oncol. 2014 Dec;9(4):349-57.","Target Oncol.  2014","PubMed","citation","PMID:24233638","pubmed","24233638","create date:2013/11/16 | first author:Zhang M",
"BRCA1 promoter methylation is a marker of better response to anthracycline-based therapy in sporadic TNBC.","/pubmed/24026861","Ignatov T, Poehlmann A, Ignatov A, Schinlauer A, Costa SD, Roessner A, Kalinski T, Bischoff J.","Breast Cancer Res Treat. 2013 Sep;141(2):205-12. doi: 10.1007/s10549-013-2693-9. Epub 2013 Sep 13.","Breast Cancer Res Treat.  2013","PubMed","citation","PMID:24026861","pubmed","24026861","create date:2013/09/13 | first author:Ignatov T",
"Feline mammary basal-like adenocarcinomas: a potential model for human triple-negative breast cancer (TNBC) with basal-like subtype.","/pubmed/24004841","Wiese DA, Thaiwong T, Yuzbasiyan-Gurkan V, Kiupel M.","BMC Cancer. 2013 Sep 3;13:403. doi: 10.1186/1471-2407-13-403.","BMC Cancer.  2013","PubMed","citation","PMID:24004841 | PMCID:PMC3849986","pubmed","24004841","create date:2013/09/06 | first author:Wiese DA",
"Association of BRCA1 germline mutations in young onset triple-negative breast cancer (TNBC).","/pubmed/23982851","Andrés R, Pajares I, Balmaña J, Llort G, Ramón Y Cajal T, Chirivella I, Aguirre E, Robles L, Lastra E, Pérez-Segura P, Bosch N, Yagüe C, Lerma E, Godino J, Miramar MD, Moros M, Astier P, Saez B, Vidal MJ, Arcusa A, Ramón y Cajal S, Calvo MT, et al.","Clin Transl Oncol. 2014 Mar;16(3):280-4. doi: 10.1007/s12094-013-1070-9. Epub 2013 Aug 27.","Clin Transl Oncol.  2014","PubMed","citation","PMID:23982851","pubmed","23982851","create date:2013/08/29 | first author:Andrés R",
"Prevalence of BRCA mutations among women with triple-negative breast cancer (TNBC) in a genetic counseling cohort.","/pubmed/23975317","Greenup R, Buchanan A, Lorizio W, Rhoads K, Chan S, Leedom T, King R, McLennan J, Crawford B, Kelly Marcom P, Shelley Hwang E.","Ann Surg Oncol. 2013 Oct;20(10):3254-8. doi: 10.1245/s10434-013-3205-1. Epub 2013 Aug 22.","Ann Surg Oncol.  2013","PubMed","citation","PMID:23975317","pubmed","23975317","create date:2013/08/27 | first author:Greenup R",
"Statin induces inhibition of triple negative breast cancer (TNBC) cells via PI3K pathway.","/pubmed/23973711","Park YH, Jung HH, Ahn JS, Im YH.","Biochem Biophys Res Commun. 2013 Sep 20;439(2):275-9. doi: 10.1016/j.bbrc.2013.08.043. Epub 2013 Aug 21.","Biochem Biophys Res Commun.  2013","PubMed","citation","PMID:23973711","pubmed","23973711","create date:2013/08/27 | first author:Park YH",
"Bcl2 is an independent prognostic marker of triple negative breast cancer (TNBC) and predicts response to anthracycline combination (ATC) chemotherapy (CT) in adjuvant and neoadjuvant settings.","/pubmed/23908177","Abdel-Fatah TM, Perry C, Dickinson P, Ball G, Moseley P, Madhusudan S, Ellis IO, Chan SY.","Ann Oncol. 2013 Nov;24(11):2801-7. doi: 10.1093/annonc/mdt277. Epub 2013 Aug 1.","Ann Oncol.  2013","PubMed","citation","PMID:23908177","pubmed","23908177","create date:2013/08/03 | first author:Abdel-Fatah TM",
"Clinicopathological and prognostic characteristics of triple- negative breast cancer (TNBC) in Chinese patients: a retrospective study.","/pubmed/23886182","Li CY, Zhang S, Zhang XB, Wang P, Hou GF, Zhang J.","Asian Pac J Cancer Prev. 2013;14(6):3779-84.","Asian Pac J Cancer Prev.  2013","PubMed","citation","PMID:23886182","pubmed","23886182","create date:2013/07/28 | first author:Li CY",
"Mechanisms of tumor immune escape in triple-negative breast cancers (TNBC) with and without mutated BRCA 1.","/pubmed/23828443","Engel JB, Honig A, Kapp M, Hahne JC, Meyer SR, Dietl J, Segerer SE.","Arch Gynecol Obstet. 2014 Jan;289(1):141-7. doi: 10.1007/s00404-013-2922-9. Epub 2013 Jul 5.","Arch Gynecol Obstet.  2014","PubMed","citation","PMID:23828443","pubmed","23828443","create date:2013/07/06 | first author:Engel JB",
"Soluble-E-cadherin activates HER and IAP family members in HER2+ and TNBC human breast cancers.","/pubmed/23776059","Brouxhon SM, Kyrkanides S, Teng X, O'Banion MK, Clarke R, Byers S, Ma L.","Mol Carcinog. 2014 Nov;53(11):893-906. doi: 10.1002/mc.22048. Epub 2013 Jun 18.","Mol Carcinog.  2014","PubMed","citation","PMID:23776059 | PMCID:PMC4477712","pubmed","23776059","create date:2013/06/19 | first author:Brouxhon SM",
"RAD51 genotype and triple-negative breast cancer (TNBC) risk in Polish women.","/pubmed/23625599","Smolarz B, Zadrożny M, Duda-Szymańska J, Makowska M, Samulak D, Michalska MM, Mojs E, Bryś M, Forma E, Romanowicz-Makowska H.","Pol J Pathol. 2013 Apr;64(1):39-43.","Pol J Pathol.  2013","PubMed","citation","PMID:23625599","pubmed","23625599","create date:2013/04/30 | first author:Smolarz B",
"High expression of CD147 and MMP-9 is correlated with poor prognosis of triple-negative breast cancer (TNBC) patients.","/pubmed/23263825","Zhao S, Ma W, Zhang M, Tang D, Shi Q, Xu S, Zhang X, Liu Y, Song Y, Liu L, Zhang Q.","Med Oncol. 2013 Mar;30(1):335. doi: 10.1007/s12032-012-0335-4. Epub 2012 Dec 22.","Med Oncol.  2013","PubMed","citation","PMID:23263825 | PMCID:PMC4059361","pubmed","23263825","create date:2012/12/25 | first author:Zhao S",
"Expression of melatonin receptors in triple negative breast cancer (TNBC) in African American and Caucasian women: relation to survival.","/pubmed/23250547","Oprea-Ilies G, Haus E, Sackett-Lundeen L, Liu Y, McLendon L, Busch R, Adams A, Cohen C.","Breast Cancer Res Treat. 2013 Feb;137(3):677-87. doi: 10.1007/s10549-012-2371-3. Epub 2012 Dec 19.","Breast Cancer Res Treat.  2013","PubMed","citation","PMID:23250547 | PMCID:PMC3552359","pubmed","23250547","create date:2012/12/20 | first author:Oprea-Ilies G",
"Neoadjuvant treatments for triple-negative breast cancer (TNBC).","/pubmed/23012300","von Minckwitz G, Martin M.","Ann Oncol. 2012 Aug;23 Suppl 6:vi35-9. Review.","Ann Oncol.  2012","PubMed","citation","PMID:23012300","pubmed","23012300","create date:2012/10/04 | first author:von Minckwitz G",
"Search for novel therapies for triple negative breast cancers (TNBC): analogs of luteinizing hormone-releasing hormone (LHRH) and growth hormone-releasing hormone (GHRH).","/pubmed/25961354","Buchholz S, Seitz S, Engel JB, Montero A, Ortmann O, Perez R, Block NL, Schally AV.","Horm Mol Biol Clin Investig. 2012 Apr 1;9(1):87-94. doi: 10.1515/hmbci-2011-0002.","Horm Mol Biol Clin Investig.  2012","PubMed","citation","PMID:25961354","pubmed","25961354","create date:2012/04/01 | first author:Buchholz S",
"A mouse model for triple-negative breast cancer tumor-initiating cells (TNBC-TICs) exhibits similar aggressive phenotype to the human disease.","/pubmed/22452810","Kaur P, Nagaraja GM, Zheng H, Gizachew D, Galukande M, Krishnan S, Asea A.","BMC Cancer. 2012 Mar 27;12:120. doi: 10.1186/1471-2407-12-120.","BMC Cancer.  2012","PubMed","citation","PMID:22452810 | PMCID:PMC3340297","pubmed","22452810","create date:2012/03/29 | first author:Kaur P",
"Potential candidate biomarkers for heterogeneity in triple-negative breast cancer (TNBC).","/pubmed/21170648","Cho EY, Chang MH, Choi YL, Lee JE, Nam SJ, Yang JH, Park YH, Ahn JS, Im YH.","Cancer Chemother Pharmacol. 2011 Sep;68(3):753-61. doi: 10.1007/s00280-010-1548-x. Epub 2010 Dec 18.","Cancer Chemother Pharmacol.  2011","PubMed","citation","PMID:21170648","pubmed","21170648","create date:2010/12/21 | first author:Cho EY",
"Treatment of triple negative breast cancer (TNBC): current options and future perspectives.","/pubmed/21129616","De Laurentiis M, Cianniello D, Caputo R, Stanzione B, Arpino G, Cinieri S, Lorusso V, De Placido S.","Cancer Treat Rev. 2010 Nov;36 Suppl 3:S80-6. doi: 10.1016/S0305-7372(10)70025-6. Review.","Cancer Treat Rev.  2010","PubMed","citation","PMID:21129616","pubmed","21129616","create date:2010/12/07 | first author:De Laurentiis M",
